settimana,giorno,data,fascia,classi,scuola,citta,laboratorio,incontro,formatrice
5,01-lun,23/02/2026,14-16,4BNO,Lic. Scientifico Bafile,L'Aquila,sensibilizzazione discriminazioni di genere,2,Andreea
5,02-mar,24/02/2026,14-18,5ALSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,2,Anita
5,02-mar,24/02/2026,14-18,"4BS,4BU",Liceo Pascal,Pompei,citizen science,2,Ida
5,02-mar,24/02/2026,15-17,5AS,Liceo Pascal,Pompei,citizen science,1,Ida
5,02-mar,24/02/2026,15.30-17.30,"3A,4C",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,2,Anita
5,03-mer,25/02/2026,10-12,5A,IIS Fermi,Sulmona,orientamento e competenze,1,Anita
5,03-mer,25/02/2026,14-16,"3D,4B",Liceo Scientifico Einstein,Teramo,orientamento e competenze,1,Anita
5,03-mer,25/02/2026,15-19,"5C,5E",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,2,Anita
5,04-gio,26/02/2026,9-11,"5I,5P",Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,2,Ida
5,05-ven,27/02/2026,10-12,"3CL,3GL",IIS PeanoRosa,Nereto,citizen science,1,Anita
6,02-mar,03/03/2026,15-19,"3A,4C",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,3,Anita
6,03-mer,04/03/2026,11-13,"3CL,3GL",IIS PeanoRosa,Nereto,citizen science,2,Anita
6,03-mer,04/03/2026,14-16,"3CI,4CI",IIS Amedeo D'Aosta,L'Aquila,citizen science,1,Ida
6,03-mer,04/03/2026,15-19,"5C,5E",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,3,Andreea
6,04-gio,05/03/2026,8-10,4BSA,Liceo Scientifico G. Galilei,Pescara,citizen science,1,Margherita
6,04-gio,05/03/2026,15-17,5AS,Liceo Pascal,Pompei,citizen science,2,Margherita
6,05-ven,06/03/2026,14-16,5DNO,Lic. Scientifico Bafile,L'Aquila,citizen science,2,Anita
6,05-ven,06/03/2026,14-18,4DS,Liceo Pascal,Pompei,citizen science,2,Andreea
7,01-lun,09/03/2026,9-13,"3A,4C",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,4,Andreea
7,01-lun,09/03/2026,15-19,"5C,5E",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,4,Anita
7,02-mar,10/03/2026,8-10,3AtMb,IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,3,Andreea
7,02-mar,10/03/2026,9-13,"4AS,4CU",Liceo Pascal,Pompei,orientamento e competenze,2,Andreea
7,02-mar,10/03/2026,14-16,5ALSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,3,Anita
7,02-mar,10/03/2026,14-16,5DNO,Lic. Scientifico Bafile,L'Aquila,citizen science,3,Ida
7,03-mer,11/03/2026,8-10,5AL,IIS PeanoRosa,Nereto,orientamento e competenze,1,Anita
8,01-lun,16/03/2026,14-16,5DNO,Lic. Scientifico Bafile,L'Aquila,citizen science,4,Anita
8,02-mar,17/03/2026,9-11,3AtMb,IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,4,Ida
8,02-mar,17/03/2026,9-11,"3CL,3GL",IIS PeanoRosa,Nereto,citizen science,3,Andreea
8,02-mar,17/03/2026,11-13,3A,Liceo Scientifico e Linguistico M.Curie,Giulianova,orientamento e competenze,1,Anita
8,02-mar,17/03/2026,14-16,5ALSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,4,Anita
8,02-mar,17/03/2026,14-18,"3AS,3ESA",Liceo Pascal,Pompei,orientamento e competenze,2,Anita
8,02-mar,17/03/2026,15-17,"4CU,5BS",Liceo Pascal,Pompei,citizen science,1,Anita
8,02-mar,17/03/2026,15-17,4H,Liceo Scientifico G. Galilei,Pescara,citizen science,1,Anita
8,02-mar,17/03/2026,15.30-17.30,"5AM,5D",Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,2,Ida
8,03-mer,18/03/2026,15-17,"4C,4CSA",Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,2,Anita
8,03-mer,18/03/2026,15.30-17.30,"3A,4C",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,5,Ida
8,05-ven,20/03/2026,15-17,5AS,Liceo Pascal,Pompei,citizen science,3,Andreea
9,01-lun,23/03/2026,8-10,"4B,4C",IIS. E. Mattei,Vasto,citizen science,4,Margherita
9,01-lun,23/03/2026,8-10,"4F,4O",Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,2,Margherita
9,02-mar,24/03/2026,14-16,"3CI,4CI",IIS Amedeo D'Aosta,L'Aquila,citizen science,2,Anita
9,02-mar,24/03/2026,14-18,"4AS,4AS-SAA",Liceo Pascal,Pompei,citizen science,1,Anita
9,02-mar,24/03/2026,15-17,"4BS,4BU",Liceo Pascal,Pompei,citizen science,3,Anita
9,02-mar,24/03/2026,15-17,4DS,Liceo Pascal,Pompei,citizen science,3,Anita
9,02-mar,24/03/2026,15-19,"3A,3C",Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,1,Anita
9,03-mer,25/03/2026,9-11,5AL,IIS PeanoRosa,Nereto,orientamento e competenze,2,Anita
9,03-mer,25/03/2026,14-16,5ALSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,5,Ida
9,04-gio,26/03/2026,14-16,5DNO,Lic. Scientifico Bafile,L'Aquila,citizen science,5,Andreea
9,04-gio,26/03/2026,15-19,5D,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,1,Andreea
9,04-gio,26/03/2026,15.30-17.30,"5C,5E",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,5,Anita
9,05-ven,27/03/2026,8-10,"3CL,3GL",IIS PeanoRosa,Nereto,citizen science,4,Margherita
10,01-lun,30/03/2026,8-10,"3C,4A",IIS Fermi,Sulmona,sensibilizzazione discriminazioni di genere pt.2,1,Anita
10,01-lun,30/03/2026,8-10,"3F,4B",IIS Fermi,Sulmona,orientamento e competenze,1,Anita
10,01-lun,30/03/2026,8-10,"3D,4B",Liceo Scientifico Einstein,Teramo,orientamento e competenze,2,Anita
10,01-lun,30/03/2026,8-10,"5I,5P",Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,1,Anita
10,01-lun,30/03/2026,9-11,"5B,5C",IIS. E. Mattei,Vasto,sensibilizzazione discriminazioni di genere,1,Andreea
10,01-lun,30/03/2026,9-11,"3O,4C",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,1,Anita
10,01-lun,30/03/2026,10-12,"3B,3M",Liceo Scientifico Vitruvio Pollione,Avezzano,orientamento e competenze,1,Ida
10,01-lun,30/03/2026,11-13,"4D,4F",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,1,Andreea
10,01-lun,30/03/2026,9-13,5AL,IIS PeanoRosa,Nereto,citizen science,1,Anita
10,02-mar,31/03/2026,8-10,"3CL,3GL",IIS PeanoRosa,Nereto,citizen science,5,Andreea
10,02-mar,31/03/2026,8-10,"4B,4C",IIS. E. Mattei,Vasto,citizen science,5,Andreea
10,02-mar,31/03/2026,8-10,"4G,4H",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,1,Anita
10,02-mar,31/03/2026,8-10,"3D,5C",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,1,Ida
10,02-mar,31/03/2026,9-11,"3A,3C",IIS. E. Mattei,Vasto,citizen science,2,Anita
10,02-mar,31/03/2026,9-11,"5F,5G",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,2,Andreea
10,02-mar,31/03/2026,9-11,"5H,5O",Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,1,Ida
10,02-mar,31/03/2026,10-12,"4O,5D",Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,1,Anita
