slot_id,1-1-3A,2-1-3C,3-1-4B,4-1-4C,5-1-5B,6-1-5C,7-2-4BNO,8-2-5DNO,9-3-3BLSA,10-3-3CI,11-3-4ALSA,12-3-4CI,13-3-5DI,14-3-5ALSA,15-4-3AtMb,16-4-3InA,17-4-4AtA,18-4-4MA,19-4-5AtIB,20-4-5MBCH,21-5-3GL,22-5-3CL,23-5-4GL,24-5-5AL,25-6-3AS,26-6-3ESA,27-6-4AS-SAA,28-6-4BS,29-6-4AS,30-6-4BU,31-6-4CU,32-6-4DS,33-6-5BS,34-6-5AS,35-7-3D,36-7-3F,37-7-3G,38-7-4B,39-7-4D,40-7-4G,41-7-5A,42-7-5G,43-8-3DSA,44-8-3I,45-8-4ASA,46-8-4B,47-8-4BSA,48-8-4C,49-8-4CSA,50-8-4H,51-8-5C,52-9-3O,53-9-4C,54-9-4D,55-9-4F,56-9-4G,57-9-4H,58-9-4O,59-9-5D,60-9-5F,61-9-5G,62-9-5H,63-9-5I,64-9-5O,65-9-5P,66-10-3B,67-10-3M,68-11-3A,69-11-3C,70-11-3D,71-11-5E,72-11-5C,73-12-3A,74-12-3C,75-12-3E,76-12-4A,77-12-4C,78-12-5AM,79-12-5C,80-12-5D,81-12-5E,82-13-3C,83-13-3F,84-13-4A,85-13-4B,86-13-5A,87-13-5F,num_formatrici,num_formatrici_disponibili
s02-02-10-mar-P,-,X,X,-,X,-,-,-,X,-,X,X,-,-,-,-,X,X,-,-,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,X,X,X,X,X,X,X,-,-,-,X,-,-,-,X,-,X,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,-,X,-,L4-4/72-11-5C:3-Ida,L4-4/71-11-5E:3-Ida,-,X,-,X,-,L4-1/81-12-5E:1-Anita,-,-,L4-1/78-12-5AM:1-Anita,X,X,X,X,X,X,2,2
s02-02-11-mer-M1,X,-,-,X,-,X,X,X,-,-,X,X,-,-,-,-,X,X,-,-,X,X,-,-,X,X,X,X,X,X,X,X,X,X,-,L4-3/37-7-3G:3-Ida,L4-3/36-7-3F:3-Ida,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,X,X,X,-,X,-,X,X,X,X,X,-,-,-,-,-,-,1,2
s02-02-11-mer-M2,X,-,-,X,-,X,X,X,-,-,X,X,-,-,-,-,X,X,-,-,X,X,-,-,X,X,X,X,X,X,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,L4-4/50-8-4H:3-Ida,-,X,-,L4-4/46-8-4B:3-Ida,X,-,X,-,-,L4-2/61-9-5G:1-Anita,-,-,X,-,L4-2/56-9-4G:1-Anita,-,-,-,-,-,-,X,-,-,X,X,X,-,X,-,X,X,X,X,X,-,-,-,-,-,-,2,2
s02-02-11-mer-P,L4-4/4-1-4C:2-Andreea,X,X,L4-4/1-1-3A:2-Andreea,X,-,-,X,X,-,X,X,-,-,-,-,X,X,-,-,X,X,X,X,-,-,L4-2/32-6-4DS:1-Anita,-,-,L4-3/31-6-4CU:3-Ida,L4-3/30-6-4BU:3-Ida,L4-2/27-6-4AS-SAA:1-Anita,-,-,-,X,X,X,X,X,X,X,-,-,-,X,-,-,-,X,-,X,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,-,X,-,-,-,-,X,-,X,-,-,-,-,-,X,X,X,X,X,X,3,3
s02-02-12-gio-M1,X,-,-,X,-,X,X,X,-,-,X,X,-,-,-,-,X,X,-,-,X,X,-,-,X,X,X,X,X,X,X,X,X,X,-,-,-,-,-,-,-,-,L5-2/44-8-3I:1-Anita,L5-2/43-8-3DSA:1-Anita,-,-,-,X,-,-,X,-,X,-,-,-,-,-,X,-,-,-,-,-,-,X,X,X,-,-,X,X,X,-,X,L4-3,X,X,X,X,X,-,-,L5-2/87-13-5F:3-Ida,-,-,L5-2/84-13-4A:3-Ida,3,3
s02-02-12-gio-M2,X,-,-,X,-,X,X,X,-,-,X,X,-,-,-,-,X,X,-,-,X,X,L5-1/24-5-5AL:3-Ida,L5-1/23-5-4GL:3-Ida,X,X,X,X,X,X,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,L4-2,X,-,-,-,-,-,X,-,-,-,-,-,-,X,X,X,-,-,X,X,X,-,X,-,X,X,X,X,X,L5-1/85-13-4B:1-Anita,-,-,L5-1/82-13-3C:1-Anita,-,-,3,3
s02-02-12-gio-P,-,X,X,-,X,-,-,X,X,-,X,X,-,-,-,-,X,X,-,-,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,X,X,X,X,X,X,X,-,-,-,X,-,L5-2/51-8-5C:1-Anita,-,X,L5-2/48-8-4C:1-Anita,X,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,-,X,-,-,-,-,X,-,X,-,-,L4-2/80-12-5D:2-Andreea,L4-2/79-12-5C:2-Andreea,-,X,X,X,X,X,X,2,2
s02-02-13-ven-M1,X,-,-,X,-,X,X,X,L4-3/10-3-3CI:3-Ida,L4-3/9-3-3BLSA:3-Ida,X,X,-,-,-,-,X,X,-,-,X,X,-,-,X,X,X,X,X,X,X,X,X,X,-,-,-,-,-,-,-,-,-,-,L4-2/47-8-4BSA:1-Anita,-,L4-2/45-8-4ASA:1-Anita,X,-,-,X,-,X,-,-,-,L4-4/60-9-5F:2-Andreea,-,X,L4-4/57-9-4H:2-Andreea,-,-,-,-,-,-,-,X,-,-,X,X,X,-,X,-,X,X,X,X,X,-,-,-,-,-,-,3,3
s02-02-13-ven-M2,X,-,-,X,L5-1,X,X,X,-,-,X,X,-,-,-,-,X,X,-,-,X,X,-,-,X,X,X,X,X,X,X,X,X,X,-,-,-,-,-,-,L5-1/42-7-5G:2-Andreea,L5-1/41-7-5A:2-Andreea,-,-,-,-,-,X,-,-,X,-,X,-,-,-,-,-,X,-,-,-,-,L5-1/65-9-5P:1-Anita,L5-1/64-9-5O:1-Anita,-,-,X,-,-,X,X,X,-,X,-,X,X,X,X,X,-,-,-,-,-,-,3,3
s02-02-13-ven-P,-,X,X,-,X,-,X,X,X,-,X,X,-,-,-,-,X,X,-,-,X,X,X,X,-,-,-,L4-5/29-6-4AS:1-Anita,L4-5/28-6-4BS:1-Anita,X,X,-,L4-4/34-6-5AS:2-Andreea,L4-4/33-6-5BS:2-Andreea,-,X,X,X,X,X,X,X,-,-,-,X,-,-,-,X,-,X,-,X,X,X,X,X,-,X,X,X,X,X,X,X,X,-,X,-,-,-,-,X,-,X,-,-,-,-,-,X,X,X,X,X,X,2,2
