settimana,giorno,data,fascia,classi,scuola,citta,laboratorio,incontro,formatrice
2,03-mer,04/02/2026,10-12,"4GL,5AL",IIS PeanoRosa,Nereto,orientamento e competenze,2,Anita
2,03-mer,04/02/2026,9-13,"5C,5E",Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,1,Andreea
2,03-mer,04/02/2026,15-17,5AS,Liceo Pascal,Pompei,citizen science,1,Ida
2,03-mer,04/02/2026,15-19,4BSA,Liceo Scientifico G. Galilei,Pescara,citizen science,2,Anita
2,03-mer,04/02/2026,15-19,4C,Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,2,Ida
2,03-mer,04/02/2026,15-19,5C,Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,1,Ida
2,03-mer,04/02/2026,15-19,4A,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,1,Anita
2,03-mer,04/02/2026,15-19,5D,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,2,Andreea
2,03-mer,04/02/2026,15.30-17.30,3E,Liceo Scientifico P. P. Pasolini,Potenza,sensibilizzazione discriminazioni di genere,1,Ida
2,04-gio,05/02/2026,9-11,5E,Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,1,Anita
2,04-gio,05/02/2026,14.30-16.30,"3D,5C",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,1,Anita
2,05-ven,06/02/2026,8-10,"4D,5G",Liceo Scientifico Einstein,Teramo,orientamento e competenze,1,Margherita
2,05-ven,06/02/2026,14-16,"4G,5A",Liceo Scientifico Einstein,Teramo,orientamento e competenze,1,Margherita
3,01-lun,09/02/2026,8-10,3CI,IIS Amedeo D'Aosta,L'Aquila,citizen science,2,Margherita
3,01-lun,09/02/2026,8-10,5DI,IIS Amedeo D'Aosta,L'Aquila,orientamento e competenze,2,Margherita
3,01-lun,09/02/2026,8-10,"3C,5F",IIS Fermi,Sulmona,orientamento e competenze,2,Ida
3,01-lun,09/02/2026,8-10,"4B,5A",IIS Fermi,Sulmona,orientamento e competenze,1,Margherita
3,01-lun,09/02/2026,8-10,3AtMb,IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,2,Margherita
3,01-lun,09/02/2026,8-10,3InA,IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,2,Andreea
3,01-lun,09/02/2026,8-10,5AtIB,IIS L.Da Vinci-De Giorgio,Lanciano,sensibilizzazione discriminazioni di genere,2,Margherita
3,01-lun,09/02/2026,8-10,5B,IIS. E. Mattei,Vasto,orientamento e competenze,2,Margherita
3,01-lun,09/02/2026,8-10,"3D,4B",Liceo Scientifico Einstein,Teramo,orientamento e competenze,2,Andreea
3,01-lun,09/02/2026,8-10,3F,Liceo Scientifico Einstein,Teramo,citizen science,2,Anita
3,01-lun,09/02/2026,8-10,3G,Liceo Scientifico Einstein,Teramo,citizen science,3,Margherita
3,01-lun,09/02/2026,8-10,"4D,5G",Liceo Scientifico Einstein,Teramo,orientamento e competenze,2,Anita
3,01-lun,09/02/2026,8-10,"4G,5A",Liceo Scientifico Einstein,Teramo,orientamento e competenze,2,Anita
3,01-lun,09/02/2026,8-10,3I,Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,2,Margherita
3,01-lun,09/02/2026,8-10,5C,Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,2,Anita
3,01-lun,09/02/2026,8-10,"3O,5F",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,1,Margherita
3,01-lun,09/02/2026,8-10,"4C,4H",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,1,Margherita
3,01-lun,09/02/2026,8-10,"4F,5O",Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,2,Margherita
3,01-lun,09/02/2026,8-10,4G,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,1,Anita
3,01-lun,09/02/2026,8-10,4O,Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,2,Margherita
3,01-lun,09/02/2026,8-10,5G,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,1,Margherita
3,01-lun,09/02/2026,8-10,"5I,5P",Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,1,Margherita
3,01-lun,09/02/2026,8-10,"3B,3M",Liceo Scientifico Vitruvio Pollione,Avezzano,orientamento e competenze,2,Margherita
3,01-lun,09/02/2026,10-12,"3F,4A",IIS Fermi,Sulmona,orientamento e competenze,2,Margherita
3,01-lun,09/02/2026,10-12,4D,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,2,Anita
3,01-lun,09/02/2026,9-13,"3AS,3ESA",Liceo Pascal,Pompei,orientamento e competenze,2,Ida
3,01-lun,09/02/2026,9-13,"4AS,4BU",Liceo Pascal,Pompei,citizen science,1,Anita
3,01-lun,09/02/2026,9-13,4AS-SAA,Liceo Pascal,Pompei,citizen science,1,Anita
3,01-lun,09/02/2026,9-13,4CU,Liceo Pascal,Pompei,orientamento e competenze,2,Andreea
3,01-lun,09/02/2026,9-13,5AS,Liceo Pascal,Pompei,citizen science,2,Anita
3,01-lun,09/02/2026,9-13,3A,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,1,Andreea
3,01-lun,09/02/2026,9-13,5AM,Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,2,Andreea
3,01-lun,09/02/2026,14.30-16.30,3C,Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,3,Margherita
3,01-lun,09/02/2026,15-17,4BS,Liceo Pascal,Pompei,citizen science,1,Anita
3,01-lun,09/02/2026,15-17,"4DS,5BS",Liceo Pascal,Pompei,citizen science,2,Anita
3,01-lun,09/02/2026,15-19,3E,Liceo Scientifico P. P. Pasolini,Potenza,sensibilizzazione discriminazioni di genere,2,Ida
3,01-lun,09/02/2026,15.30-17.30,4A,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,2,Anita
3,01-lun,09/02/2026,15.30-17.30,5D,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,3,Andreea
3,02-mar,10/02/2026,8-10,4MA,IIS L.Da Vinci-De Giorgio,Lanciano,orientamento e competenze,1,Ida
3,02-mar,10/02/2026,8-10,3GL,IIS PeanoRosa,Nereto,citizen science,1,Andreea
3,02-mar,10/02/2026,8-10,3C,IIS. E. Mattei,Vasto,citizen science,1,Andreea
3,02-mar,10/02/2026,8-10,"3D,5C",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,2,Ida
3,02-mar,10/02/2026,9-11,5E,Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,2,Anita
3,02-mar,10/02/2026,10-12,"3CL,5AL",IIS PeanoRosa,Nereto,citizen science,1,Andreea
3,02-mar,10/02/2026,10-12,5H,Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,2,Ida
3,02-mar,10/02/2026,11-13,4GL,IIS PeanoRosa,Nereto,citizen science,1,Anita
3,02-mar,10/02/2026,11-13,3A,IIS. E. Mattei,Vasto,citizen science,3,Anita
3,02-mar,10/02/2026,11-13,"4B,5C",IIS. E. Mattei,Vasto,orientamento e competenze,2,Anita
3,02-mar,10/02/2026,11-13,4C,IIS. E. Mattei,Vasto,citizen science,1,Anita
3,02-mar,10/02/2026,14.30-16.30,3A,Liceo Scientifico e Linguistico M.Curie,Giulianova,orientamento e competenze,2,Ida
3,02-mar,10/02/2026,15.30-17.30,"5C,5E",Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,2,Ida
3,03-mer,11/02/2026,9-13,3C,Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,1,Andreea
3,03-mer,11/02/2026,15-19,4C,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,2,Andreea
3,05-ven,13/02/2026,14-18,"4BNO,5DNO",Lic. Scientifico Bafile,L'Aquila,orientamento e competenze,2,Anita
4,01-lun,16/02/2026,8-10,"4ALSA,5ALSA",IIS Amedeo D'Aosta,L'Aquila,citizen science,2,Anita
4,01-lun,16/02/2026,8-10,3InA,IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,3,Ida
4,01-lun,16/02/2026,8-10,3G,Liceo Scientifico Einstein,Teramo,citizen science,4,Ida
4,01-lun,16/02/2026,8-10,"4B,4D",Liceo Scientifico Einstein,Teramo,presentazione manuali,1,Anita
4,01-lun,16/02/2026,8-10,5G,Liceo Scientifico Einstein,Teramo,presentazione manuali,1,Ida
4,01-lun,16/02/2026,8-10,4B,Liceo Scientifico G. Galilei,Pescara,citizen science,2,Anita
4,01-lun,16/02/2026,8-10,4BSA,Liceo Scientifico G. Galilei,Pescara,citizen science,3,Margherita
4,01-lun,16/02/2026,8-10,"3D,5C",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,3,Anita
4,01-lun,16/02/2026,9-11,5F,IIS Fermi,Sulmona,sensibilizzazione discriminazioni di genere pt.2,1,Andreea
