classe_id,classe_nome,scuola_nome,laboratorio_id,laboratorio_nome,incontro_num,formatrice_id,formatrice_nome,settimana,giorno_num,giorno_nome,fascia_num,fascia_nome,slot,data_ora,accorpata_con
14,5ALSA,IIS Amedeo D'Aosta,5,orientamento e competenze,2,3,Ida,1,0,Lunedì,1,Mattino1,61,02/02/2026 09:00-11:00,5DI
21,3GL,IIS PeanoRosa,4,citizen science,2,4,Margherita,1,0,Lunedì,1,Mattino1,61,02/02/2026 09:00-11:00,5AL
24,5AL,IIS PeanoRosa,4,citizen science,2,4,Margherita,1,0,Lunedì,1,Mattino1,61,02/02/2026 09:00-11:00,3GL
65,5P,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,1,1,Anita,1,0,Lunedì,1,Mattino1,61,02/02/2026 09:00-11:00,5H
74,3C,Liceo Scientifico P. P. Pasolini,8,presentazione manuali,1,2,Andreea,1,0,Lunedì,1,Mattino1,61,02/02/2026 09:00-11:00,5D
80,5D,Liceo Scientifico P. P. Pasolini,8,presentazione manuali,1,2,Andreea,1,0,Lunedì,1,Mattino1,61,02/02/2026 09:00-11:00,3C
2,3C,IIS. E. Mattei,8,presentazione manuali,1,2,Andreea,1,0,Lunedì,2,Mattino2,62,02/02/2026 11:00-13:00,4B
3,4B,IIS. E. Mattei,8,presentazione manuali,1,2,Andreea,1,0,Lunedì,2,Mattino2,62,02/02/2026 11:00-13:00,3C
56,4G,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1,1,Anita,1,0,Lunedì,2,Mattino2,62,02/02/2026 11:00-13:00,5P
84,4A,IIS Fermi,9,sensibilizzazione discriminazioni di genere pt.2,1,4,Margherita,1,0,Lunedì,2,Mattino2,62,02/02/2026 11:00-13:00,3F
28,4BS,Liceo Pascal,4,citizen science,2,1,Anita,1,0,Lunedì,3,Pomeriggio,63,02/02/2026 14:00-16:00,5AS
34,5AS,Liceo Pascal,4,citizen science,2,1,Anita,1,0,Lunedì,3,Pomeriggio,63,02/02/2026 14:00-16:00,4BS
64,5O,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2,4,Margherita,1,0,Lunedì,3,Pomeriggio,63,02/02/2026 14:00-16:00,3O
11,4ALSA,IIS Amedeo D'Aosta,4,citizen science,5,4,Margherita,1,1,Martedì,1,Mattino1,73,03/02/2026 09:00-11:00,
27,4AS-SAA,Liceo Pascal,4,citizen science,1,1,Anita,1,1,Martedì,1,Mattino1,73,03/02/2026 09:00-11:00,4AS
29,4AS,Liceo Pascal,4,citizen science,1,1,Anita,1,1,Martedì,1,Mattino1,73,03/02/2026 09:00-11:00,4AS-SAA
38,4B,Liceo Scientifico Einstein,5,orientamento e competenze,1,3,Ida,1,1,Martedì,1,Mattino1,73,03/02/2026 09:00-11:00,4D
39,4D,Liceo Scientifico Einstein,5,orientamento e competenze,1,3,Ida,1,1,Martedì,1,Mattino1,73,03/02/2026 09:00-11:00,4B
10,3CI,IIS Amedeo D'Aosta,4,citizen science,4,3,Ida,1,1,Martedì,2,Mattino2,74,03/02/2026 11:00-13:00,4CI
12,4CI,IIS Amedeo D'Aosta,4,citizen science,4,3,Ida,1,1,Martedì,2,Mattino2,74,03/02/2026 11:00-13:00,3CI
43,3DSA,Liceo Scientifico G. Galilei,7,sensibilizzazione discriminazioni di genere,1,4,Margherita,1,1,Martedì,2,Mattino2,74,03/02/2026 11:00-13:00,5C
