settimana,giorno,fascia,fascia_generica,tipo,classe,classe2,scuola,laboratorio,formatrice,ore
12,gio,8-10,mattino1,insieme,5I,5P,Liceo Scientifico Leonardo da Vinci,orientamento e competenze,Anita,2
12,gio,9-11,mattino2,solo,3A,,IIS. E. Mattei,citizen science,Ida,2
12,gio,9-11,mattino2,insieme,5F,5H,Liceo Scientifico Leonardo da Vinci,presentazione manuali,Margherita,2
12,lun,14-16,pomeriggio,insieme,4AS,5BS,Liceo Pascal,citizen science,Ida,2
12,lun,14-16,pomeriggio,insieme,3A,5AM,Liceo Scientifico P. P. Pasolini,citizen science,Anita,2
12,lun,8-10,mattino1,insieme,4B,4H,Liceo Scientifico G. Galilei,citizen science,Anita,2
12,lun,9-11,mattino2,insieme,3O,4G,Liceo Scientifico Leonardo da Vinci,citizen science,Ida,2
12,mar,8-10,mattino1,solo,4B,,IIS Fermi,orientamento e competenze,Andreea,2
12,mar,8-10,mattino1,insieme,3GL,3CL,IIS PeanoRosa,presentazione manuali,Margherita,2
12,mar,9-11,mattino2,solo,3C,,IIS. E. Mattei,citizen science,Anita,2
12,mer,8-10,mattino1,insieme,4CI,5ALSA,IIS Amedeo D'Aosta,citizen science,Anita,2
12,ven,14-16,pomeriggio,insieme,3C,5C,Liceo Scientifico P. P. Pasolini,orientamento e competenze,Anita,2
