settimana,classe_id,classe,scuola,lab_id,laboratorio,num_incontri_lab
11,64,5O,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2
1,65,5P,Liceo Scientifico Leonardo da Vinci,8,presentazione manuali,1
2,65,5P,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,2
3,65,5P,Liceo Scientifico Leonardo da Vinci,5,orientamento e competenze,2
7,65,5P,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2
12,65,5P,Liceo Scientifico Leonardo da Vinci,7,sensibilizzazione discriminazioni di genere,2
1,73,3A,Liceo Scientifico P. P. Pasolini,4,citizen science,5
3,73,3A,Liceo Scientifico P. P. Pasolini,5,orientamento e competenze,2
4,73,3A,Liceo Scientifico P. P. Pasolini,4,citizen science,5
5,73,3A,Liceo Scientifico P. P. Pasolini,4,citizen science,5
7,73,3A,Liceo Scientifico P. P. Pasolini,8,presentazione manuali,1
9,73,3A,Liceo Scientifico P. P. Pasolini,4,citizen science,5
10,73,3A,Liceo Scientifico P. P. Pasolini,4,citizen science,5
12,73,3A,Liceo Scientifico P. P. Pasolini,7,sensibilizzazione discriminazioni di genere,2
13,73,3A,Liceo Scientifico P. P. Pasolini,7,sensibilizzazione discriminazioni di genere,2
15,73,3A,Liceo Scientifico P. P. Pasolini,5,orientamento e competenze,2
1,74,3C,Liceo Scientifico P. P. Pasolini,8,presentazione manuali,1
3,74,3C,Liceo Scientifico P. P. Pasolini,5,orientamento e competenze,2
6,74,3C,Liceo Scientifico P. P. Pasolini,7,sensibilizzazione discriminazioni di genere,2
8,74,3C,Liceo Scientifico P. P. Pasolini,7,sensibilizzazione discriminazioni di genere,2
11,74,3C,Liceo Scientifico P. P. Pasolini,5,orientamento e competenze,2
1,75,3E,Liceo Scientifico P. P. Pasolini,8,presentazione manuali,1
2,75,3E,Liceo Scientifico P. P. Pasolini,5,orientamento e competenze,2
4,75,3E,Liceo Scientifico P. P. Pasolini,7,sensibilizzazione discriminazioni di genere,2
7,75,3E,Liceo Scientifico P. P. Pasolini,5,orientamento e competenze,2
13,75,3E,Liceo Scientifico P. P. Pasolini,7,sensibilizzazione discriminazioni di genere,2
2,76,4A,Liceo Scientifico P. P. Pasolini,4,citizen science,5
4,76,4A,Liceo Scientifico P. P. Pasolini,4,citizen science,5
