settimana,giorno,data,fascia,classi,scuola,citta,laboratorio,incontro,formatrice
1,05-ven,30/01/2026,14-16,5AtIB,IIS L.Da Vinci-De Giorgio,Lanciano,sensibilizzazione discriminazioni di genere,1,Margherita
1,05-ven,30/01/2026,14-16,3ESA,Liceo Pascal,Pompei,orientamento e competenze,1,Margherita
1,05-ven,30/01/2026,14-16,"5AS,5BS",Liceo Pascal,Pompei,citizen science,1,Andreea
1,05-ven,30/01/2026,14-16,"3C,3E",Liceo Scientifico P. P. Pasolini,Potenza,sensibilizzazione discriminazioni di genere,1,Anita
1,05-ven,30/01/2026,14-16,"4A,5E",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,1,Anita
1,05-ven,30/01/2026,14-16,"4C,5AM",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,1,Margherita
1,05-ven,30/01/2026,14-16,"5C,5D",Liceo Scientifico P. P. Pasolini,Potenza,sensibilizzazione discriminazioni di genere,1,Margherita
1,06-sab,31/01/2026,9-11,3C,IIS Fermi,Sulmona,sensibilizzazione discriminazioni di genere pt.2,1,Margherita
2,01-lun,02/02/2026,8-10,3A,IIS. E. Mattei,Vasto,citizen science,2,Anita
2,01-lun,02/02/2026,8-10,4H,Liceo Scientifico G. Galilei,Pescara,citizen science,2,Ida
2,01-lun,02/02/2026,9-11,4ALSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,1,Andreea
2,01-lun,02/02/2026,14-16,5DNO,Lic. Scientifico Bafile,L'Aquila,citizen science,1,Anita
2,01-lun,02/02/2026,14-16,3ESA,Liceo Pascal,Pompei,orientamento e competenze,2,Margherita
2,01-lun,02/02/2026,14-16,5C,Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,2,Margherita
2,01-lun,02/02/2026,14-16,"3C,3E",Liceo Scientifico P. P. Pasolini,Potenza,sensibilizzazione discriminazioni di genere,2,Anita
2,01-lun,02/02/2026,14-16,"4C,5AM",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,2,Margherita
2,01-lun,02/02/2026,14-16,"5C,5D",Liceo Scientifico P. P. Pasolini,Potenza,sensibilizzazione discriminazioni di genere,2,Margherita
2,02-mar,03/02/2026,8-10,"4B,4C",IIS. E. Mattei,Vasto,citizen science,1,Anita
2,02-mar,03/02/2026,14-16,4BSA,Liceo Scientifico G. Galilei,Pescara,citizen science,2,Ida
2,03-mer,04/02/2026,9-11,4A,IIS Fermi,Sulmona,orientamento e competenze,1,Anita
2,03-mer,04/02/2026,9-11,"5A,5G",Liceo Scientifico Einstein,Teramo,orientamento e competenze,2,Anita
2,03-mer,04/02/2026,14-16,"4AS,4BS",Liceo Pascal,Pompei,citizen science,1,Ida
2,03-mer,04/02/2026,14-16,4DS,Liceo Pascal,Pompei,citizen science,1,Anita
2,03-mer,04/02/2026,14-16,"5AS,5BS",Liceo Pascal,Pompei,citizen science,2,Andreea
2,03-mer,04/02/2026,14-16,"4A,5E",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,2,Anita
2,03-mer,04/02/2026,14-16,"5C,5E",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,2,Anita
2,04-gio,05/02/2026,8-10,3D,Liceo Scientifico Einstein,Teramo,orientamento e competenze,1,Anita
2,05-ven,06/02/2026,8-10,3BLSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,1,Anita
2,05-ven,06/02/2026,8-10,5AtIB,IIS L.Da Vinci-De Giorgio,Lanciano,sensibilizzazione discriminazioni di genere,2,Margherita
2,05-ven,06/02/2026,8-10,4GL,IIS PeanoRosa,Nereto,citizen science,2,Ida
2,05-ven,06/02/2026,8-10,5AL,IIS PeanoRosa,Nereto,citizen science,2,Ida
2,05-ven,06/02/2026,8-10,3C,IIS. E. Mattei,Vasto,citizen science,2,Ida
2,05-ven,06/02/2026,8-10,"5B,5C",IIS. E. Mattei,Vasto,sensibilizzazione discriminazioni di genere,2,Andreea
2,05-ven,06/02/2026,9-11,3CI,IIS Amedeo D'Aosta,L'Aquila,citizen science,1,Ida
2,05-ven,06/02/2026,9-11,4B,IIS Fermi,Sulmona,orientamento e competenze,1,Anita
2,05-ven,06/02/2026,9-11,5A,IIS Fermi,Sulmona,orientamento e competenze,1,Ida
2,05-ven,06/02/2026,9-11,5F,IIS Fermi,Sulmona,orientamento e competenze,1,Anita
2,05-ven,06/02/2026,9-11,"4D,4G",Liceo Scientifico Einstein,Teramo,orientamento e competenze,2,Margherita
2,05-ven,06/02/2026,9-11,4C,Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,2,Margherita
2,05-ven,06/02/2026,14-16,4CI,IIS Amedeo D'Aosta,L'Aquila,citizen science,1,Andreea
2,05-ven,06/02/2026,14-16,"5ALSA,5DI",IIS Amedeo D'Aosta,L'Aquila,orientamento e competenze,2,Andreea
2,05-ven,06/02/2026,14-16,"3AtMb,3InA",IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,2,Anita
3,01-lun,09/02/2026,8-10,4GL,IIS PeanoRosa,Nereto,citizen science,3,Ida
3,01-lun,09/02/2026,8-10,5AL,IIS PeanoRosa,Nereto,citizen science,3,Ida
3,01-lun,09/02/2026,8-10,3A,IIS. E. Mattei,Vasto,citizen science,3,Anita
3,01-lun,09/02/2026,8-10,3C,IIS. E. Mattei,Vasto,citizen science,3,Ida
3,01-lun,09/02/2026,8-10,5G,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,2,Ida
3,01-lun,09/02/2026,9-11,3CI,IIS Amedeo D'Aosta,L'Aquila,citizen science,2,Ida
3,01-lun,09/02/2026,9-11,5A,IIS Fermi,Sulmona,orientamento e competenze,2,Ida
3,01-lun,09/02/2026,9-11,4D,Liceo Scientifico Einstein,Teramo,presentazione manuali,1,Margherita
3,01-lun,09/02/2026,9-11,4G,Liceo Scientifico Einstein,Teramo,presentazione manuali,1,Margherita
3,01-lun,09/02/2026,9-11,4C,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,2,Margherita
3,01-lun,09/02/2026,9-11,4F,Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,2,Margherita
3,01-lun,09/02/2026,9-11,"4O,5H",Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,2,Anita
3,01-lun,09/02/2026,9-11,5D,Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,2,Andreea
3,01-lun,09/02/2026,9-11,5I,Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,2,Anita
3,01-lun,09/02/2026,14-16,5AtIB,IIS L.Da Vinci-De Giorgio,Lanciano,orientamento e competenze,1,Margherita
3,01-lun,09/02/2026,14-16,5C,Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,1,Margherita
3,01-lun,09/02/2026,14-16,"4C,5AM",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,3,Margherita
3,01-lun,09/02/2026,14-16,"5C,5D",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,1,Margherita
3,02-mar,10/02/2026,8-10,3BLSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,2,Anita
3,02-mar,10/02/2026,14-16,"3C,3E",Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,1,Anita
3,02-mar,10/02/2026,14-16,"4A,5E",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,3,Anita
3,02-mar,10/02/2026,14-16,"5C,5E",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,3,Anita
3,03-mer,11/02/2026,8-10,"4B,4C",IIS. E. Mattei,Vasto,citizen science,2,Anita
3,03-mer,11/02/2026,9-11,"5O,5P",Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,2,Anita
3,03-mer,11/02/2026,14-16,5ALSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,1,Andreea
3,03-mer,11/02/2026,14-16,4DS,Liceo Pascal,Pompei,citizen science,2,Anita
3,03-mer,11/02/2026,14-16,"5AS,5BS",Liceo Pascal,Pompei,citizen science,3,Andreea
3,04-gio,12/02/2026,9-11,4A,IIS Fermi,Sulmona,orientamento e competenze,2,Anita
3,04-gio,12/02/2026,9-11,5F,IIS Fermi,Sulmona,orientamento e competenze,2,Anita
3,04-gio,12/02/2026,9-11,"5B,5C",IIS. E. Mattei,Vasto,orientamento e competenze,1,Andreea
3,04-gio,12/02/2026,9-11,4G,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,2,Anita
3,04-gio,12/02/2026,9-11,5F,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,1,Ida
3,04-gio,12/02/2026,14-16,4AS-SAA,Liceo Pascal,Pompei,citizen science,1,Andreea
3,05-ven,13/02/2026,8-10,"3CL,3GL",IIS PeanoRosa,Nereto,citizen science,2,Anita
3,05-ven,13/02/2026,9-11,"5A,5G",Liceo Scientifico Einstein,Teramo,presentazione manuali,1,Anita
3,05-ven,13/02/2026,14-16,"3AtMb,3InA",IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,3,Anita
4,01-lun,16/02/2026,8-10,5AL,IIS PeanoRosa,Nereto,citizen science,4,Ida
4,01-lun,16/02/2026,8-10,3A,IIS. E. Mattei,Vasto,citizen science,4,Anita
4,01-lun,16/02/2026,8-10,3C,IIS. E. Mattei,Vasto,citizen science,4,Ida
4,01-lun,16/02/2026,8-10,4BSA,Liceo Scientifico G. Galilei,Pescara,citizen science,3,Ida
4,01-lun,16/02/2026,8-10,5G,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,3,Ida
4,01-lun,16/02/2026,9-11,5ALSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,2,Andreea
4,01-lun,16/02/2026,9-11,5D,Liceo Scientifico Leonardo da Vinci,Pescara,presentazione manuali,1,Andreea
4,01-lun,16/02/2026,9-11,5F,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,2,Ida
4,01-lun,16/02/2026,14-16,4CI,IIS Amedeo D'Aosta,L'Aquila,citizen science,2,Andreea
4,01-lun,16/02/2026,14-16,5DNO,Lic. Scientifico Bafile,L'Aquila,citizen science,2,Anita
4,01-lun,16/02/2026,14-16,4AS-SAA,Liceo Pascal,Pompei,citizen science,2,Andreea
4,01-lun,16/02/2026,14-16,5C,Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,2,Margherita
4,01-lun,16/02/2026,14-16,"4C,5AM",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,4,Margherita
4,01-lun,16/02/2026,14-16,"5C,5D",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,2,Margherita
4,02-mar,17/02/2026,8-10,3BLSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,3,Anita
4,02-mar,17/02/2026,8-10,3CI,IIS Amedeo D'Aosta,L'Aquila,citizen science,3,Ida
4,02-mar,17/02/2026,9-11,"5B,5C",IIS. E. Mattei,Vasto,orientamento e competenze,2,Andreea
4,02-mar,17/02/2026,9-11,4H,Liceo Scientifico G. Galilei,Pescara,citizen science,3,Ida
4,02-mar,17/02/2026,9-11,"5C,5E",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,4,Anita
4,02-mar,17/02/2026,14-16,"3DSA,3I",Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,1,Ida
4,03-mer,18/02/2026,8-10,"4B,4C",IIS. E. Mattei,Vasto,citizen science,3,Anita
4,03-mer,18/02/2026,14-16,4DS,Liceo Pascal,Pompei,citizen science,3,Anita
4,03-mer,18/02/2026,14-16,"5AS,5BS",Liceo Pascal,Pompei,citizen science,4,Andreea
4,04-gio,19/02/2026,8-10,4GL,IIS PeanoRosa,Nereto,citizen science,4,Ida
4,04-gio,19/02/2026,9-11,3F,IIS Fermi,Sulmona,orientamento e competenze,1,Anita
4,05-ven,20/02/2026,8-10,"5O,5P",Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,1,Anita
4,05-ven,20/02/2026,9-11,4ALSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,2,Andreea
4,05-ven,20/02/2026,9-11,5H,Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,1,Anita
4,05-ven,20/02/2026,9-11,5I,Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,1,Anita
4,05-ven,20/02/2026,14-16,"3AtMb,3InA",IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,4,Anita
4,05-ven,20/02/2026,14-16,5AtIB,IIS L.Da Vinci-De Giorgio,Lanciano,orientamento e competenze,2,Margherita
4,05-ven,20/02/2026,14-16,"4A,5E",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,4,Anita
5,01-lun,23/02/2026,9-11,4ALSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,3,Andreea
5,01-lun,23/02/2026,9-11,4G,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,3,Anita
5,01-lun,23/02/2026,14-16,5AtIB,IIS L.Da Vinci-De Giorgio,Lanciano,presentazione manuali,1,Margherita
5,01-lun,23/02/2026,14-16,5DNO,Lic. Scientifico Bafile,L'Aquila,citizen science,3,Anita
5,01-lun,23/02/2026,14-16,"5AS,5BS",Liceo Pascal,Pompei,citizen science,5,Andreea
5,01-lun,23/02/2026,14-16,"5C,5D",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,3,Margherita
5,02-mar,24/02/2026,8-10,3BLSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,4,Anita
5,02-mar,24/02/2026,8-10,3CI,IIS Amedeo D'Aosta,L'Aquila,citizen science,4,Ida
5,02-mar,24/02/2026,8-10,5ALSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,3,Andreea
5,02-mar,24/02/2026,14-16,"4A,5E",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,5,Anita
5,03-mer,25/02/2026,8-10,5AL,IIS PeanoRosa,Nereto,citizen science,5,Ida
5,03-mer,25/02/2026,8-10,"5O,5P",Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,2,Anita
5,03-mer,25/02/2026,14-16,4DS,Liceo Pascal,Pompei,citizen science,4,Anita
5,03-mer,25/02/2026,14-16,"5C,5E",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,5,Anita
5,04-gio,26/02/2026,8-10,4GL,IIS PeanoRosa,Nereto,citizen science,5,Ida
5,04-gio,26/02/2026,8-10,"3DSA,3I",Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,2,Ida
5,04-gio,26/02/2026,8-10,5G,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,4,Ida
5,04-gio,26/02/2026,9-11,3C,IIS Fermi,Sulmona,orientamento e competenze,1,Margherita
5,04-gio,26/02/2026,9-11,5C,Liceo Scientifico G. Galilei,Pescara,presentazione manuali,1,Margherita
5,04-gio,26/02/2026,9-11,4C,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,3,Margherita
5,04-gio,26/02/2026,9-11,"4D,4F",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,1,Margherita
5,04-gio,26/02/2026,9-11,5F,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,3,Ida
5,04-gio,26/02/2026,14-16,"3AtMb,3InA",IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,5,Anita
5,04-gio,26/02/2026,14-16,"4BU,4CU",Liceo Pascal,Pompei,citizen science,1,Andreea
5,05-ven,27/02/2026,8-10,"3CL,3GL",IIS PeanoRosa,Nereto,citizen science,3,Anita
5,05-ven,27/02/2026,9-11,5H,Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,2,Anita
5,05-ven,27/02/2026,9-11,5I,Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,2,Anita
5,05-ven,27/02/2026,14-16,4AS-SAA,Liceo Pascal,Pompei,citizen science,3,Andreea
5,05-ven,27/02/2026,14-16,"4C,5AM",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,5,Margherita
5,05-ven,27/02/2026,14-16,"3C,3D",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,1,Anita
6,01-lun,02/03/2026,8-10,3A,IIS. E. Mattei,Vasto,citizen science,5,Anita
6,01-lun,02/03/2026,9-11,"5H,5I",Liceo Scientifico Leonardo da Vinci,Pescara,presentazione manuali,1,Anita
6,01-lun,02/03/2026,14-16,4ALSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,4,Andreea
6,01-lun,02/03/2026,14-16,"4BU,4CU",Liceo Pascal,Pompei,citizen science,2,Andreea
6,01-lun,02/03/2026,14-16,4CSA,Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,1,Margherita
6,01-lun,02/03/2026,14-16,5AM,Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,1,Margherita
6,01-lun,02/03/2026,14-16,"5C,5D",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,4,Margherita
6,01-lun,02/03/2026,14-16,"3C,3D",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,2,Anita
6,02-mar,03/03/2026,8-10,4BSA,Liceo Scientifico G. Galilei,Pescara,citizen science,4,Ida
6,02-mar,03/03/2026,14-16,"5C,5E",Liceo Scientifico e Linguistico M.Curie,Giulianova,presentazione manuali,1,Anita
6,03-mer,04/03/2026,8-10,3C,IIS. E. Mattei,Vasto,citizen science,5,Ida
6,03-mer,04/03/2026,8-10,"3DSA,3I",Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,1,Ida
6,03-mer,04/03/2026,14-16,"5AS,5BS",Liceo Pascal,Pompei,presentazione manuali,1,Andreea
6,04-gio,05/03/2026,8-10,5AL,IIS PeanoRosa,Nereto,orientamento e competenze,1,Ida
6,04-gio,05/03/2026,8-10,4C,Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,1,Margherita
6,04-gio,05/03/2026,8-10,4H,Liceo Scientifico G. Galilei,Pescara,citizen science,4,Ida
6,04-gio,05/03/2026,8-10,5G,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,5,Ida
6,04-gio,05/03/2026,9-11,3CI,IIS Amedeo D'Aosta,L'Aquila,citizen science,5,Ida
6,04-gio,05/03/2026,9-11,4GL,IIS PeanoRosa,Nereto,orientamento e competenze,1,Ida
6,04-gio,05/03/2026,9-11,"5B,5C",IIS. E. Mattei,Vasto,presentazione manuali,1,Andreea
6,04-gio,05/03/2026,9-11,5F,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,4,Ida
6,04-gio,05/03/2026,14-16,5DNO,Lic. Scientifico Bafile,L'Aquila,citizen science,4,Anita
6,04-gio,05/03/2026,14-16,5E,Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,1,Anita
6,05-ven,06/03/2026,8-10,3BLSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,5,Anita
6,05-ven,06/03/2026,9-11,5ALSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,4,Andreea
6,05-ven,06/03/2026,9-11,"5O,5P",Liceo Scientifico Leonardo da Vinci,Pescara,presentazione manuali,1,Anita
6,05-ven,06/03/2026,14-16,3A,Liceo Scientifico P. P. Pasolini,Potenza,sensibilizzazione discriminazioni di genere,1,Anita
6,06-sab,07/03/2026,9-11,3C,IIS Fermi,Sulmona,orientamento e competenze,2,Margherita
7,01-lun,09/03/2026,8-10,5AL,IIS PeanoRosa,Nereto,orientamento e competenze,2,Ida
7,01-lun,09/03/2026,9-11,4ALSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,5,Andreea
7,01-lun,09/03/2026,9-11,5G,Liceo Scientifico Leonardo da Vinci,Pescara,presentazione manuali,1,Ida
7,01-lun,09/03/2026,14-16,5DNO,Lic. Scientifico Bafile,L'Aquila,citizen science,5,Anita
7,01-lun,09/03/2026,14-16,"4BU,4CU",Liceo Pascal,Pompei,citizen science,3,Andreea
7,01-lun,09/03/2026,14-16,4CSA,Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,2,Margherita
7,01-lun,09/03/2026,14-16,5AM,Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,2,Margherita
7,01-lun,09/03/2026,14-16,"5C,5D",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,5,Margherita
7,01-lun,09/03/2026,14-16,5E,Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,2,Anita
7,02-mar,10/03/2026,8-10,"4B,4C",IIS. E. Mattei,Vasto,citizen science,4,Anita
7,02-mar,10/03/2026,9-11,5ALSA,IIS Amedeo D'Aosta,L'Aquila,citizen science,5,Andreea
7,02-mar,10/03/2026,9-11,4GL,IIS PeanoRosa,Nereto,orientamento e competenze,2,Ida
7,03-mer,11/03/2026,9-11,3O,Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,1,Anita
7,03-mer,11/03/2026,14-16,4DS,Liceo Pascal,Pompei,citizen science,5,Anita
7,04-gio,12/03/2026,9-11,3F,IIS Fermi,Sulmona,orientamento e competenze,2,Anita
7,04-gio,12/03/2026,9-11,4B,Liceo Scientifico G. Galilei,Pescara,citizen science,1,Andreea
7,04-gio,12/03/2026,9-11,4C,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,4,Margherita
7,04-gio,12/03/2026,9-11,"4D,4F",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,2,Margherita
7,04-gio,12/03/2026,9-11,4G,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,4,Anita
7,04-gio,12/03/2026,9-11,5F,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,5,Ida
7,05-ven,13/03/2026,8-10,3A,IIS. E. Mattei,Vasto,orientamento e competenze,1,Anita
7,05-ven,13/03/2026,8-10,4H,Liceo Scientifico G. Galilei,Pescara,citizen science,5,Ida
7,05-ven,13/03/2026,9-11,"3F,3G",Liceo Scientifico Einstein,Teramo,citizen science,1,Andreea
7,05-ven,13/03/2026,9-11,4BSA,Liceo Scientifico G. Galilei,Pescara,citizen science,5,Ida
7,05-ven,13/03/2026,9-11,4C,Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,2,Margherita
7,05-ven,13/03/2026,14-16,3A,Liceo Scientifico P. P. Pasolini,Potenza,sensibilizzazione discriminazioni di genere,2,Anita
8,01-lun,16/03/2026,8-10,3CI,IIS Amedeo D'Aosta,L'Aquila,presentazione manuali,1,Ida
8,01-lun,16/03/2026,8-10,"5ALSA,5DI",IIS Amedeo D'Aosta,L'Aquila,presentazione manuali,1,Andreea
8,01-lun,16/03/2026,8-10,4O,Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,1,Anita
8,01-lun,16/03/2026,14-16,5DNO,Lic. Scientifico Bafile,L'Aquila,orientamento e competenze,1,Anita
8,01-lun,16/03/2026,14-16,3AS,Liceo Pascal,Pompei,orientamento e competenze,1,Anita
8,01-lun,16/03/2026,14-16,"4BU,4CU",Liceo Pascal,Pompei,citizen science,4,Andreea
8,01-lun,16/03/2026,14-16,4C,Liceo Scientifico G. Galilei,Pescara,presentazione manuali,1,Margherita
8,01-lun,16/03/2026,14-16,4C,Liceo Scientifico P. P. Pasolini,Potenza,presentazione manuali,1,Margherita
8,01-lun,16/03/2026,14-16,5AM,Liceo Scientifico P. P. Pasolini,Potenza,presentazione manuali,1,Margherita
8,01-lun,16/03/2026,14-16,"5C,5D",Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,1,Margherita
8,02-mar,17/03/2026,8-10,3A,IIS. E. Mattei,Vasto,orientamento e competenze,2,Anita
8,02-mar,17/03/2026,14-16,"4AS,4BS",Liceo Pascal,Pompei,citizen science,2,Ida
8,02-mar,17/03/2026,14-16,3A,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,1,Anita
8,03-mer,18/03/2026,8-10,4ASA,Liceo Scientifico G. Galilei,Pescara,citizen science,1,Anita
8,03-mer,18/03/2026,14-16,5E,Liceo Scientifico P. P. Pasolini,Potenza,presentazione manuali,1,Anita
8,04-gio,19/03/2026,8-10,"3C,3D",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,3,Anita
