settimana,giorno,data,fascia,classi,scuola,citta,laboratorio,incontro,formatrice
1,04-gio,29/01/2026,8-10,5MBCH,IIS L.Da Vinci-De Giorgio,Lanciano,presentazione manuali,1,Andreea
1,04-gio,29/01/2026,8-10,"3CL,3GL",IIS PeanoRosa,Nereto,citizen science,1,Anita
1,04-gio,29/01/2026,8-10,4GL,IIS PeanoRosa,Nereto,citizen science,1,Ida
1,04-gio,29/01/2026,8-10,5AL,IIS PeanoRosa,Nereto,citizen science,1,Ida
1,04-gio,29/01/2026,8-10,3C,IIS. E. Mattei,Vasto,citizen science,1,Ida
1,04-gio,29/01/2026,8-10,4BSA,Liceo Scientifico G. Galilei,Pescara,citizen science,1,Ida
1,04-gio,29/01/2026,8-10,4C,Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,1,Margherita
1,04-gio,29/01/2026,8-10,4H,Liceo Scientifico G. Galilei,Pescara,citizen science,1,Ida
1,04-gio,29/01/2026,8-10,5G,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,1,Ida
1,04-gio,29/01/2026,9-11,5A,IIS Fermi,Sulmona,sensibilizzazione discriminazioni di genere pt.2,1,Ida
1,04-gio,29/01/2026,9-11,4B,Liceo Scientifico Einstein,Teramo,orientamento e competenze,1,Anita
1,04-gio,29/01/2026,9-11,"4D,4G",Liceo Scientifico Einstein,Teramo,orientamento e competenze,1,Margherita
1,04-gio,29/01/2026,9-11,"5A,5G",Liceo Scientifico Einstein,Teramo,orientamento e competenze,1,Anita
1,04-gio,29/01/2026,9-11,5C,Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,1,Margherita
1,04-gio,29/01/2026,9-11,4C,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,1,Margherita
1,04-gio,29/01/2026,9-11,4F,Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,1,Margherita
1,04-gio,29/01/2026,9-11,5D,Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,1,Andreea
1,04-gio,29/01/2026,9-11,5F,Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere pt.2,1,Ida
1,04-gio,29/01/2026,9-11,5I,Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,1,Anita
1,04-gio,29/01/2026,9-11,"5O,5P",Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,1,Anita
1,04-gio,29/01/2026,14-16,"5ALSA,5DI",IIS Amedeo D'Aosta,L'Aquila,orientamento e competenze,1,Andreea
1,04-gio,29/01/2026,14-16,"3AtMb,3InA",IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,1,Anita
1,04-gio,29/01/2026,14-16,"5C,5E",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,1,Anita
1,05-ven,30/01/2026,8-10,3A,IIS. E. Mattei,Vasto,citizen science,1,Anita
1,05-ven,30/01/2026,9-11,"3F,4B",IIS Fermi,Sulmona,sensibilizzazione discriminazioni di genere pt.2,1,Anita
1,05-ven,30/01/2026,9-11,"4A,5F",IIS Fermi,Sulmona,sensibilizzazione discriminazioni di genere pt.2,1,Anita
1,05-ven,30/01/2026,9-11,"5B,5C",IIS. E. Mattei,Vasto,sensibilizzazione discriminazioni di genere,1,Andreea
1,05-ven,30/01/2026,9-11,4G,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,1,Anita
1,05-ven,30/01/2026,9-11,"4O,5H",Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,1,Anita
