Settimana,Giorno,Fascia Oraria,Data e Ora,Classi,N. Classi,Scuola,Laboratorio,Formatrice,Accorpamento
10,Venerdì,Pomeriggio,17/04/2026 14:00-16:00,"4C, 5D",2,Liceo Scientifico P. P. Pasolini,citizen science,Margherita,Sì
11,Mercoledì,Mattino2,22/04/2026 11:00-13:00,"3F, 3G",2,Liceo Scientifico Einstein,citizen science,Ida,Sì
11,Mercoledì,Pomeriggio,22/04/2026 14:00-16:00,"4AS, 4BS, 4BU, 4CU",4,Liceo Pascal,orientamento e competenze,Ida,Sì
11,Mercoledì,Pomeriggio,22/04/2026 14:00-16:00,5E,1,Liceo Scientifico P. P. Pasolini,orientamento e competenze,Andreea,No
11,Giovedì,Mattino1,23/04/2026 09:00-11:00,"3A, 3C, 4B, 4C",4,IIS. E. Mattei,orientamento e competenze,Margherita,Sì
11,Venerdì,Mattino2,24/04/2026 11:00-13:00,"3BLSA, 4ALSA",2,IIS Amedeo D'Aosta,citizen science,Ida,Sì
12,Lunedì,Mattino1,27/04/2026 09:00-11:00,"4B, 4C",2,IIS. E. Mattei,orientamento e competenze,Anita,Sì
12,Lunedì,Pomeriggio,27/04/2026 14:00-16:00,"4AS, 4BS",2,Liceo Pascal,orientamento e competenze,Margherita,Sì
12,Lunedì,Pomeriggio,27/04/2026 14:00-16:00,"5C, 5D",2,Liceo Scientifico P. P. Pasolini,orientamento e competenze,Andreea,Sì
12,Mercoledì,Pomeriggio,29/04/2026 14:00-16:00,"4BU, 4CU",2,Liceo Pascal,orientamento e competenze,Ida,Sì
12,Mercoledì,Pomeriggio,29/04/2026 14:00-16:00,"5AM, 5E",2,Liceo Scientifico P. P. Pasolini,orientamento e competenze,Anita,Sì
12,Giovedì,Mattino1,30/04/2026 09:00-11:00,"5B, 5C",2,IIS. E. Mattei,sensibilizzazione discriminazioni di genere,Ida,Sì
12,Giovedì,Mattino1,30/04/2026 09:00-11:00,"3DSA, 4C",2,Liceo Scientifico G. Galilei,sensibilizzazione discriminazioni di genere,Margherita,Sì
12,Giovedì,Mattino1,30/04/2026 09:00-11:00,"4F, 5H, 5I, 5O",4,Liceo Scientifico Leonardo da Vinci,sensibilizzazione discriminazioni di genere,Anita,Sì
13,Lunedì,Pomeriggio,04/05/2026 14:00-16:00,"5C, 5D",2,Liceo Scientifico P. P. Pasolini,orientamento e competenze,Margherita,Sì
13,Martedì,Mattino2,05/05/2026 11:00-13:00,"5B, 5C",2,IIS. E. Mattei,sensibilizzazione discriminazioni di genere,Anita,Sì
13,Martedì,Mattino2,05/05/2026 11:00-13:00,"4F, 5H, 5I, 5O",4,Liceo Scientifico Leonardo da Vinci,sensibilizzazione discriminazioni di genere,Ida,Sì
13,Venerdì,Mattino1,08/05/2026 09:00-11:00,"3DSA, 4C",2,Liceo Scientifico G. Galilei,sensibilizzazione discriminazioni di genere,Ida,Sì
13,Venerdì,Mattino1,08/05/2026 09:00-11:00,"3I, 4CSA, 5C",3,Liceo Scientifico G. Galilei,sensibilizzazione discriminazioni di genere,Margherita,Sì
13,Venerdì,Mattino1,08/05/2026 09:00-11:00,"3O, 4O, 5P",3,Liceo Scientifico Leonardo da Vinci,sensibilizzazione discriminazioni di genere,Anita,Sì
14,Lunedì,Pomeriggio,11/05/2026 14:00-16:00,4BNO,1,Lic. Scientifico Bafile,sensibilizzazione discriminazioni di genere,Margherita,No
14,Lunedì,Pomeriggio,11/05/2026 14:00-16:00,"3A, 3C, 3E, 5C, 5D",5,Liceo Scientifico P. P. Pasolini,sensibilizzazione discriminazioni di genere,Andreea,Sì
14,Venerdì,Mattino1,15/05/2026 09:00-11:00,5AtIB,1,IIS L.Da Vinci-De Giorgio,sensibilizzazione discriminazioni di genere,Anita,No
14,Venerdì,Mattino1,15/05/2026 09:00-11:00,"3I, 4CSA, 5C",3,Liceo Scientifico G. Galilei,sensibilizzazione discriminazioni di genere,Margherita,Sì
14,Venerdì,Mattino1,15/05/2026 09:00-11:00,"3O, 4O, 5P",3,Liceo Scientifico Leonardo da Vinci,sensibilizzazione discriminazioni di genere,Andreea,Sì
15,Lunedì,Pomeriggio,18/05/2026 14:00-16:00,5AtIB,1,IIS L.Da Vinci-De Giorgio,sensibilizzazione discriminazioni di genere,Margherita,No
15,Lunedì,Pomeriggio,18/05/2026 14:00-16:00,"3A, 3C, 3E, 5C, 5D",5,Liceo Scientifico P. P. Pasolini,sensibilizzazione discriminazioni di genere,Andreea,Sì
