Settimana,Giorno,Fascia Oraria,Data e Ora,Classi,N. Classi,Scuola,Laboratorio,Formatrice,Accorpamento
1,Giovedì,Pomeriggio,05/02/2026 14:00-16:00,"3DSA, 3I",2,Liceo Scientifico G. Galilei,orientamento e competenze,Andreea,Sì
1,Giovedì,Pomeriggio,05/02/2026 14:00-16:00,"3C, 3E",2,Liceo Scientifico P. P. Pasolini,orientamento e competenze,Margherita,Sì
1,Giovedì,Pomeriggio,05/02/2026 14:00-16:00,"4A, 4C",2,Liceo Scientifico P. P. Pasolini,citizen science,Anita,Sì
1,Venerdì,Mattino1,06/02/2026 09:00-11:00,"5ALSA, 5DI",2,IIS Amedeo D'Aosta,presentazione manuali,Andreea,Sì
1,Venerdì,Mattino1,06/02/2026 09:00-11:00,"3F, 3G",2,Liceo Scientifico Einstein,presentazione manuali,Ida,Sì
1,Venerdì,Mattino1,06/02/2026 09:00-11:00,"4G, 4H",2,Liceo Scientifico Leonardo da Vinci,presentazione manuali,Anita,Sì
1,Venerdì,Mattino2,06/02/2026 11:00-13:00,"3D, 4G",2,Liceo Scientifico Einstein,orientamento e competenze,Ida,Sì
1,Venerdì,Mattino2,06/02/2026 11:00-13:00,"4C, 4CSA",2,Liceo Scientifico G. Galilei,orientamento e competenze,Andreea,Sì
1,Venerdì,Mattino2,06/02/2026 11:00-13:00,"5O, 5P",2,Liceo Scientifico Leonardo da Vinci,orientamento e competenze,Anita,Sì
1,Venerdì,Mattino2,06/02/2026 11:00-13:00,"3C, 4B",2,IIS Fermi,orientamento e competenze,Margherita,Sì
1,Venerdì,Pomeriggio,06/02/2026 14:00-16:00,"3AS, 3ESA",2,Liceo Pascal,orientamento e competenze,Margherita,Sì
1,Venerdì,Pomeriggio,06/02/2026 14:00-16:00,"4AS-SAA, 4DS",2,Liceo Pascal,citizen science,Anita,Sì
1,Venerdì,Pomeriggio,06/02/2026 14:00-16:00,3A,1,Liceo Scientifico P. P. Pasolini,orientamento e competenze,Andreea,No
1,Sabato,Mattino1,07/02/2026 09:00-11:00,"4A, 5A",2,IIS Fermi,orientamento e competenze,Margherita,Sì
1,Sabato,Mattino2,07/02/2026 11:00-13:00,"3B, 3M",2,Liceo Scientifico Vitruvio Pollione,orientamento e competenze,Margherita,Sì
2,Lunedì,Mattino1,09/02/2026 09:00-11:00,"4B, 4C",2,IIS. E. Mattei,citizen science,Anita,Sì
2,Lunedì,Mattino1,09/02/2026 09:00-11:00,"4F, 4H",2,Liceo Scientifico Leonardo da Vinci,citizen science,Andreea,Sì
2,Lunedì,Mattino2,09/02/2026 11:00-13:00,"3A, 3C",2,IIS. E. Mattei,presentazione manuali,Andreea,Sì
2,Lunedì,Mattino2,09/02/2026 11:00-13:00,"3InA, 5AtIB",2,IIS L.Da Vinci-De Giorgio,presentazione manuali,Anita,Sì
2,Lunedì,Mattino2,09/02/2026 11:00-13:00,"4ASA, 4B",2,Liceo Scientifico G. Galilei,citizen science,Ida,Sì
2,Lunedì,Pomeriggio,09/02/2026 14:00-16:00,5DNO,1,Lic. Scientifico Bafile,citizen science,Anita,No
